order_id,customer_id,order_date,total_amount,payment_method,shipping_address,status
1,5,2025-05-20T17:42:37.610822,2811.46,UPI,"651 Cantrell Cliffs, Helenside, CA 40190",pending
2,5,2025-05-20T17:42:37.610833,1782.56,PayPal,"651 Cantrell Cliffs, Helenside, CA 40190",cancelled
3,2,2025-05-20T17:42:37.610837,1602.54,Credit Card,"USNV Quinn, FPO AP 71746",cancelled
4,2,2025-05-20T17:42:37.610840,3713.68,Credit Card,"USNV Quinn, FPO AP 71746",shipped
5,5,2025-05-20T17:42:37.610843,3422.16,PayPal,"651 Cantrell Cliffs, Helenside, CA 40190",pending
6,3,2025-05-20T17:42:37.610845,466.97,PayPal,"USNS Martin, FPO AP 59113",delivered
7,3,2025-05-20T17:42:37.610848,3984.56,UPI,"USNS Martin, FPO AP 59113",pending
8,2,2025-05-20T17:42:37.610851,2527.4,PayPal,"USNV Quinn, FPO AP 71746",delivered
9,5,2025-05-20T17:42:37.610853,2928.42,COD,"651 Cantrell Cliffs, Helenside, CA 40190",shipped
10,1,2025-05-20T17:42:37.610857,1381.54,UPI,"97194 Jessica Court, South Autumn, DE 04204",shipped
11,3,2025-05-20T17:42:37.610859,1909.04,Credit Card,"USNS Martin, FPO AP 59113",pending
12,2,2025-05-20T17:42:37.610862,1957.42,COD,"USNV Quinn, FPO AP 71746",pending
13,1,2025-05-20T17:42:37.610865,334.3,COD,"97194 Jessica Court, South Autumn, DE 04204",pending
14,2,2025-05-20T17:42:37.610867,1145.86,UPI,"USNV Quinn, FPO AP 71746",pending
15,5,2025-05-20T17:42:37.610870,4888.84,PayPal,"651 Cantrell Cliffs, Helenside, CA 40190",pending
