customer_id,name,email,phone_number,address,registration_date
1,Michelle Shea,kmiller@example.com,220.960.2123,"5395 Romero Rest, Lake Aaronfurt, MT 94852",2023-11-26
2,Gregory Garcia,chall@example.org,606-787-6147x8035,"218 Perkins Lodge, Santoshaven, MP 26034",2023-10-25
3,Lauren Sexton,psharp@example.net,5494963627,"9741 Gutierrez Loaf Apt. 073, Karenmouth, OR 44280",2023-04-10
4,Patrick Sutton,michaelsmith@example.net,714.991.4198x07102,"9960 Underwood Station, South Hannahchester, KS 29424",2023-11-18
5,Joseph Hubbard,amanda71@example.net,677-739-6092,"190 Osborne Ridges, New Morgan, WI 53774",2023-10-21
6,Robert Johnson,schultzsherry@example.net,510.685.5466,"533 Rebecca Bridge, Theresafort, NH 84777",2023-06-15
7,Jeffrey Reid,david90@example.net,(394)299-8736x05762,"0999 Miller Fall Suite 551, Howardstad, NY 43381",2023-10-30
8,Adriana Mcdowell,umiller@example.com,350.989.6488x870,"456 Lindsey Meadows Suite 647, West Kylemouth, NY 50889",2023-05-12
9,Lindsay Cline,kimberlyshields@example.net,+1-457-491-2049x92746,"PSC 4348, Box 2811, APO AP 11640",2023-06-23
10,Christopher Bird,lopezbrittney@example.com,(519)700-5121x2144,"1974 Williamson Square Suite 701, Lake Dannyton, GU 01784",2023-05-04
11,James Marshall,rodriguezsue@example.org,486-900-5402,"288 Boyd Neck, West James, MI 58284",2023-02-27
12,Jennifer Wade,zwhite@example.net,766-825-5063x48870,"020 Mitchell Trail, Kathleenbury, ID 56656",2023-09-07
13,Cindy Kaufman,rsmith@example.net,651-776-2382,"5369 James Walks Apt. 149, Kevinland, PA 44508",2023-10-04
14,Samantha Kelly,morrowmichael@example.com,8717409430,"723 Morales Alley, Port Carlos, NH 36039",2023-01-07
15,Catherine Dunn,qphillips@example.org,365.715.3041,"Unit 6531 Box 4282, DPO AA 47489",2023-07-15
16,David Fowler,hectorcook@example.org,738-837-0194x337,"01661 Matthew Mews, Lake Tonyamouth, ND 14727",2023-12-13
17,Leslie Martin,bookerstephanie@example.com,001-268-833-8590x2574,"516 Travis Stravenue Suite 393, Tiffanyfurt, WY 70102",2023-12-12
18,Alyssa Frye,allenjoshua@example.com,(825)217-5091,"4043 Mckay Ridge, New Kelseyside, CT 31055",2023-07-18
19,Mr. Brian Taylor,navarropamela@example.net,(486)858-4507,"9256 Brady Valley Apt. 405, New John, GA 74121",2023-01-11
20,Jeffrey Flores,johnsondebbie@example.org,8256350703,"363 Brooks Center Apt. 093, West Marcside, VT 83977",2023-05-05
21,Dylan Oliver,ssullivan@example.net,001-658-540-2310,"0148 Chapman Haven Apt. 468, Rossville, OH 41472",2023-01-06
22,Michael Warner,xelliott@example.net,+1-498-891-8019x614,"Unit 2672 Box 2025, DPO AP 90685",2023-09-24
23,Christopher Bautista,johnsonariana@example.org,452.889.7172x75675,"2506 Michael Roads Suite 470, South Tylerport, FM 42442",2023-10-16
24,Kyle Wells,fnielsen@example.org,001-348-951-4840x0628,"34904 Green Ports Suite 214, Stevenville, IA 15436",2023-05-09
25,Michael Alexander,stewartkevin@example.com,001-456-348-5175x81098,"5162 Amber Isle, North Karen, HI 49183",2023-04-20
26,Laura Duncan,anna07@example.com,856.631.3221x6494,"630 Elizabeth Cove Apt. 812, Jonathanfort, AZ 96928",2023-02-18
27,Sarah Shields,gjones@example.org,351-796-4460,"3774 Alejandra Views Suite 604, Bennettberg, MS 88941",2023-01-28
