customer_id,name,email,phone_number,address,registration_date
1,David Brown,zbush@example.net,457-938-0310x7843,"4643 Brandon Crossing, Williamsshire, DC 52031",2025-03-01T09:16:46.555999
2,Felicia Weaver,sandraoconnor@example.com,8426111257,"073 Collins Ville Suite 616, Lake Katrina, IA 27585",2025-03-24T17:15:35.226348
3,Jack Davis,bellstephanie@example.net,2375864962,"3176 Hutchinson Route, Aprilborough, AL 57613",2025-02-22T12:21:54.402707
4,Elizabeth Massey,tarajones@example.com,304-230-3907x52131,"4095 Watson Skyway Suite 066, North Crystalstad, MH 72025",2025-05-16T12:47:08.579812
5,Ms. Krista Mcintosh,thomasheidi@example.com,5575148251,"Unit 0518 Box 5957, DPO AP 70408",2025-05-17T04:24:30.877366
6,Pamela Malone,christian32@example.com,(924)744-6276x1662,"5881 Ashley Roads Suite 163, West Crystalborough, DE 36365",2025-03-18T15:13:56.796452
7,Benjamin Moore,iacosta@example.org,(344)507-7887x3507,"PSC 7822, Box 7263, APO AE 90722",2025-04-13T01:47:10.197131
8,Tiffany Hudson,williamsnathan@example.com,9835511494,"1273 Julie Center Apt. 304, South Angela, DE 30397",2025-04-16T06:33:32.516979
9,Lance Bell,johnny80@example.org,(445)353-1851x2998,"4064 Barbara Square, South Joshuaberg, AR 86196",2025-03-31T05:54:12.982662
10,Jenna Lewis,lryan@example.com,990.723.1470x749,"23052 Roberts Ramp Suite 972, Lake Travischester, MO 63235",2025-01-27T18:19:35.557611
